time,flux,flux_error
-0.25,0.9997440512706152,0.001
-0.24930458970792768,1.0000268045634473,0.001
-0.24860917941585536,0.9985090175214048,0.001
-0.24791376912378305,1.0001455818952136,0.001
-0.2472183588317107,1.0020041547686456,0.001
-0.24652294853963838,0.9996461554797174,0.001
-0.24582753824756606,0.9996352682416031,0.001
-0.24513212795549374,0.9986292320335508,0.001
-0.24443671766342143,0.9986034112947767,0.001
-0.2437413073713491,1.001359109520903,0.001
-0.24304589707927676,0.999053645185894,0.001
-0.24235048678720444,0.9990858767315365,0.001
-0.24165507649513213,0.9992973142067106,0.001
-0.2409596662030598,1.0000025505694834,0.001
-0.2402642559109875,1.0000260928517144,0.001
-0.23956884561891517,1.000007859987752,0.001
-0.23887343532684283,1.0008163407657291,0.001
-0.2381780250347705,1.0013202912068764,0.001
-0.2374826147426982,1.0014912311783524,0.001
-0.23678720445062587,1.0006157513711913,0.001
-0.23609179415855355,0.9998976275118264,0.001
-0.23539638386648123,1.0006231837168302,0.001
-0.2347009735744089,1.0004028225668473,0.001
-0.23400556328233657,1.0001295612112884,0.001
-0.23331015299026425,0.9992968377181648,0.001
-0.23261474269819193,0.9990511304102444,0.001
-0.23191933240611962,1.003551748887995,0.001
-0.2312239221140473,1.0000266109599136,0.001
-0.23052851182197498,0.9992759809751635,0.001
-0.22983310152990263,1.0006736276034511,0.001
-0.22913769123783032,1.0005290004534797,0.001
-0.228442280945758,1.000767363705108,0.001
-0.22774687065368568,0.9996540254943693,0.001
-0.22705146036161336,1.0014378390050145,0.001
-0.22635605006954101,1.0005446563512277,0.001
-0.2256606397774687,0.9987557066787691,0.001
-0.22496522948539638,1.0016565394406625,0.001
-0.22426981919332406,1.0017074681050098,0.001
-0.22357440890125174,0.9986140589433051,0.001
-0.22287899860917942,1.0014173682312293,0.001
-0.2221835883171071,0.9987432470395169,0.001
-0.22148817802503476,0.9988894237715911,0.001
-0.22079276773296244,0.9994908718961167,0.001
-0.22009735744089012,0.99898048582283,0.001
-0.2194019471488178,1.0010896927398898,0.001
-0.2187065368567455,1.0003044710946623,0.001
-0.21801112656467317,1.0008383040797655,0.001
-0.21731571627260082,1.0001060078539612,0.001
-0.2166203059805285,1.0007967556703006,0.001
-0.2159248956884562,0.9994037409798048,0.001
-0.21522948539638387,1.0001681703342098,0.001
-0.21453407510431155,1.0004431212104923,0.001
